,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
7037,7037,35_2,35_45,104.8499,4.145902,21.2524,0.0429,-0.01590454,31.0,31.0,74.0,2540.0,74.0876,2539.952,74.0876,2539.952,192.87276171585265,27.239606465661574,2.574,0.666,-51.27,0.10203,0.0264,-51.27,74.0876,2539.952,192.87276171585265,27.239606465661574,0.35910651189,0.42135852768,0.35910651189,0.42135852768,0.649,0.599,-89.12,0.6491326,0.5992428,-89.12,30.718,1.0,7.83,3.865,0.741,1.0,35.0
7038,7038,35_3,35_15,3803.308,24.96985,17.3535,0.0071,0.002012082,26.0,26.0,74.0,2525.0,73.8533,2524.6464,73.8533,2524.6464,192.87271034657203,27.24391306376993,0.54,0.511,86.42,0.00355,0.00335,86.42,73.8533,2524.6464,192.87271034657203,27.24391306376993,0.059040413945,0.13370732123,0.059040413945,0.13370732123,0.366,0.243,-89.88,0.3656605,0.2429817,-89.88,38.0184,0.0,0.98,1.058,0.054,1.0,35.0
7039,7039,35_4,35_10,385.386,7.948465,19.8391,0.0224,0.03060449,12.0,12.0,167.0,2519.0,167.4622,2519.1408,167.4622,2519.1408,192.8430479453263,27.24478295717673,0.7,0.539,74.62,0.01443,0.01113,74.62,167.4622,2519.1408,192.8430479453263,27.24478295717673,0.24030528745,0.27166897741,0.24030528745,0.27166897741,0.525,0.486,71.02,0.5252405,0.4858977,71.02,31.9374,0.0,1.75,1.297,0.229,1.0,35.0
7040,7040,35_5,35_6,8.144579,1.155499,24.0267,0.1541,6.634541e-06,4.0,4.0,393.0,2519.0,392.8566,2518.6796,392.8566,2518.6796,192.77172269749573,27.243256466049623,0.504,0.327,-70.7,0.07151,0.04636,-70.7,392.8566,2518.6796,192.77172269749573,27.243256466049623,0.12264027771,0.1823610848,0.12264027771,0.1823610848,0.427,0.35,-85.65,0.4274438,0.3497044,-85.65,38.1617,0.0,1.05,1.543,0.352,1.0,35.0
7041,7041,35_6,35_4,8.37714,1.171883,23.9961,0.1519,0.02362567,2.0,2.0,180.0,2519.0,180.0,2518.9537,180.0,2518.9537,192.83907934991143,27.24474428380612,0.357,0.289,90.0,0.04996,0.04038,90.0,180.0,2518.9537,192.83907934991143,27.24474428380612,0.0833333,0.086034329911,0.0833333,0.086034329911,0.293,0.289,90.0,0.2933161,0.2886751,90.0,32.0813,0.0,1.8,1.237,0.192,1.0,35.0
7042,7042,35_7,35_3,14.47052,1.5402,23.4027,0.1156,4.897294e-06,3.0,3.0,252.0,2518.0,252.0046,2517.6091,252.0046,2517.6091,192.81628467388447,27.24459627221964,0.567,0.297,89.56,0.06035,0.03156,89.56,252.0046,2517.6091,192.81628467388447,27.24459627221964,0.084136808785,0.18113310807,0.084136808785,0.18113310807,0.426,0.29,89.95,0.4255975,0.2900633,89.95,35.4775,0.0,0.97,1.912,0.477,1.0,35.0
7043,7043,35_8,35_2,35.44014,2.410365,22.4301,0.0739,5.143535e-06,5.0,5.0,226.0,2517.0,225.9786,2516.7466,225.9786,2516.7466,192.8245126965236,27.245029423748164,0.534,0.339,-84.17,0.03632,0.02308,-84.17,225.9786,2516.7466,192.8245126965236,27.245029423748164,0.085178918965,0.10757144349,0.085178918965,0.10757144349,0.328,0.292,-89.75,0.3279815,0.2918535,-89.75,34.3738,0.0,0.93,1.573,0.364,1.0,35.0
7044,7044,35_9,35_1,0.172663,0.1682421,28.2109,1.0582,6.795757e-06,2.0,2.0,318.0,2516.0,317.6995,2516.0,317.6995,2516.0,192.79548316017195,27.24456594345668,0.542,0.289,0.0,0.5279,0.28128,0.0,317.6995,2516.0,192.79548316017195,27.24456594345668,0.11357251621,0.0833333,0.11357251621,0.0833333,0.337,0.289,0.0,0.3370052,0.2886751,0.0,36.3702,0.0,0.93,1.877,0.467,0.998,35.0
7045,7045,35_10,35_761,0.1048821,0.1311251,28.7521,1.3577,3.038383e-06,1.0,1.0,317.0,3012.0,317.0,3012.0,317.0,3012.0,192.7998627324044,27.105054676756133,0.289,0.289,45.0,0.3609,0.3609,45.0,317.0,3012.0,192.7998627324044,27.105054676756133,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,47.6209,0.0,0.0,1.0,0.0,0.997,35.0
7046,7046,35_11,35_760,14.40675,1.536803,23.4075,0.1158,2.19663e-05,10.0,10.0,61.0,3011.0,61.2295,3009.6085,61.2295,3009.6085,192.88065533059137,27.107591653047155,1.395,0.395,-72.31,0.14885,0.04211,-72.31,61.2295,3009.6085,192.88065533059137,27.107591653047155,0.15793252435,1.0632417283,0.15793252435,1.0632417283,1.046,0.356,-79.61,1.046311,0.3555384,-79.61,47.1692,0.0,4.4,3.535,0.717,1.0,35.0
7047,7047,35_12,35_759,12.26945,1.418233,23.5818,0.1255,-0.0009319555,5.0,5.0,479.0,3010.0,479.0385,3009.6123,479.0385,3009.6123,192.74863615587017,27.10452466460069,0.487,0.213,-88.74,0.05633,0.0246,-88.74,479.0385,3009.6123,192.74863615587017,27.10452466460069,0.087449905355,0.17337548945,0.087449905355,0.17337548945,0.416,0.296,-89.88,0.4163843,0.2957186,-89.88,54.5223,0.0,0.89,2.29,0.563,1.0,35.0
7048,7048,35_13,35_758,5.638419,0.9614214,24.426,0.1852,-4.747346e-07,2.0,2.0,261.0,3009.0,261.0,3009.3984,261.0,3009.3984,192.81753635153748,27.10619805724572,0.568,0.289,90.0,0.09691,0.04922,90.0,261.0,3009.3984,192.81753635153748,27.10619805724572,0.0833333,0.18613711645,0.0833333,0.18613711645,0.431,0.289,90.0,0.4314361,0.2886751,90.0,47.1287,0.0,0.96,1.969,0.492,1.0,35.0
7049,7049,35_14,35_757,0.1624676,0.1631994,28.277,1.0909,6.202788e-08,1.0,1.0,360.0,3009.0,360.0,3009.0,360.0,3009.0,192.78624963514665,27.10558131511952,0.289,0.289,45.0,0.28997,0.28997,45.0,360.0,3009.0,192.78624963514665,27.10558131511952,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,49.6702,0.0,0.0,1.0,0.0,0.997,35.0
7050,7050,35_15,35_756,0.502194,0.2869266,27.0517,0.6205,-0.001169378,1.0,1.0,497.0,3008.0,497.0,3008.0,497.0,3008.0,192.7429459647749,27.104843995279545,0.289,0.289,45.0,0.16493,0.16493,45.0,497.0,3008.0,192.7429459647749,27.104843995279545,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,50.7945,0.0,0.0,1.0,0.0,0.997,35.0
7051,7051,35_16,35_755,10.3994,1.305687,23.7613,0.1364,2.115124e-05,3.0,3.0,86.0,3008.0,85.9909,3007.9874,85.9909,3007.9874,192.87281955160347,27.10786890277571,0.309,0.304,-88.11,0.03885,0.03815,-88.11,85.9909,3007.9874,192.87281955160347,27.10786890277571,0.083895124978,0.084103103558,0.083895124978,0.084103103558,0.29,0.29,-89.88,0.2900054,0.2896465,-89.88,45.1559,0.0,0.0,1.019,0.018,0.988,35.0
7052,7052,35_17,35_754,0.3551525,0.2412918,27.4278,0.7378,-1.159955e-06,1.0,1.0,392.0,3007.0,392.0,3007.0,392.0,3007.0,192.77612045732872,27.10590706359463,0.289,0.289,45.0,0.19612,0.19612,45.0,392.0,3007.0,192.77612045732872,27.10590706359463,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,49.5692,0.0,0.0,1.0,0.0,0.997,35.0
7053,7053,35_18,35_753,4150.261,26.08392,17.2587,0.0068,2.032919e-05,21.0,21.0,71.0,3005.0,71.1826,3004.9432,71.1826,3004.9432,192.87747314074653,27.10883223851295,0.463,0.402,-33.08,0.00291,0.00253,-33.08,71.1826,3004.9432,192.87747314074653,27.10883223851295,0.098346591961,0.093365683292,0.098346591961,0.093365683292,0.314,0.306,-0.94,0.3136047,0.3055558,-0.94,46.4679,0.0,0.83,1.151,0.131,1.0,35.0
7054,7054,35_19,35_752,9.035773,1.217076,23.914,0.1463,-3.837109e-07,3.0,3.0,354.0,3005.0,354.0103,3004.9742,354.0103,3004.9742,192.78810868925785,27.106758082452345,0.329,0.306,88.99,0.04436,0.04118,88.99,354.0103,3004.9742,192.78810868925785,27.106758082452345,0.083976110234,0.084873325727,0.083976110234,0.084873325727,0.291,0.29,89.94,0.2913303,0.2897863,89.94,51.0929,0.0,0.0,1.077,0.072,0.985,35.0
7055,7055,35_20,35_751,4.491095,0.8580472,24.673,0.2075,2.31666e-07,2.0,2.0,339.0,3005.0,338.9658,3004.9658,338.9658,3004.9658,192.7928627916295,27.10687153363824,0.387,0.289,45.0,0.07386,0.05515,45.0,338.9658,3004.9658,192.7928627916295,27.10687153363824,0.083407717662,0.083407717662,0.083407717662,0.083407717662,0.289,0.289,45.0,0.2889327,0.2886751,45.0,48.9775,0.0,0.0,1.339,0.253,1.0,35.0
