col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
46313,46313,33_54,33_1610,16.36563,1.599103,23.2368,0.1061,0.003898649,3.0,3.0,3010.0,2507.0,3009.9787,2506.6281,3009.9787,2506.6281,315.4313948322307,62.39124896997314,0.563,0.322,-87.88,0.05503,0.03149,-87.88,3009.9787,2506.6281,315.4313948322307,62.39124896997314,0.086721066783,0.16729719091,0.086721066783,0.16729719091,0.409,0.294,-89.78,0.4090213,0.2944823,-89.78,36.8171,1.0,1.0,1.748,0.428,1.0,33.0
46314,46314,33_55,33_1609,7.532689,1.084888,24.0792,0.1564,0.002859774,2.0,2.0,2992.0,2507.0,2992.0958,2507.0,2992.0958,2507.0,315.4422347662762,62.390966907746645,0.412,0.289,0.0,0.05937,0.04158,0.0,2992.0958,2507.0,315.4422347662762,62.390966907746645,0.089277711117,0.0833333,0.089277711117,0.0833333,0.299,0.289,0.0,0.2987938,0.2886751,0.0,37.0923,0.0,0.0,1.428,0.3,1.0,33.0
46315,46315,33_56,33_1608,1.953523,0.5524834,25.5446,0.3071,-2.568535E-4,1.0,1.0,2938.0,2507.0,2938.0,2507.0,2938.0,2507.0,315.475049103857,62.390424757862014,0.289,0.289,45.0,0.08164,0.08164,45.0,2938.0,2507.0,315.475049103857,62.390424757862014,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,39.8793,0.0,0.0,1.0,0.0,1.0,33.0
46317,46317,33_58,33_1606,0.933037,0.3818207,26.3469,0.4444,0.002859129,1.0,1.0,2992.0,2505.0,2992.0,2505.0,2992.0,2505.0,315.4423358651657,62.39152810879775,0.289,0.289,45.0,0.11813,0.11813,45.0,2992.0,2505.0,315.4423358651657,62.39152810879775,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.1923,0.0,0.0,1.0,0.0,1.0,33.0
46318,46318,33_59,33_1605,0.006390998,0.03160053,31.7577,5.3698,3.912396E-4,1.0,1.0,2949.0,2505.0,2949.0,2505.0,2949.0,2505.0,315.4684200858707,62.39109776915485,0.289,0.289,45.0,1.42737,1.42737,45.0,2949.0,2505.0,315.4684200858707,62.39109776915485,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.8358,0.0,0.0,1.0,0.0,0.977,33.0
46319,46319,33_60,33_1604,5.455243,0.9232452,24.4296,0.1838,-3.548665E-4,1.0,1.0,2936.0,2505.0,2936.0,2505.0,2936.0,2505.0,315.4763059089879,62.390966708645095,0.289,0.289,45.0,0.04885,0.04885,45.0,2936.0,2505.0,315.4763059089879,62.390966708645095,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,40.347,0.0,0.0,1.0,0.0,1.0,33.0
46320,46320,33_61,33_1603,7.369741,1.07309,24.103,0.1581,-0.001516905,1.0,1.0,2779.0,2505.0,2779.0,2505.0,2779.0,2505.0,315.5715382657151,62.38934882213272,0.289,0.289,45.0,0.04203,0.04203,45.0,2779.0,2505.0,315.5715382657151,62.38934882213272,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,42.9098,0.0,0.0,1.0,0.0,1.0,33.0
46321,46321,33_62,33_1602,0.7190104,0.3351796,26.6298,0.5063,7.984723E-4,1.0,1.0,2956.0,2504.0,2956.0,2504.0,2956.0,2504.0,315.4641955529831,62.3914492295454,0.289,0.289,45.0,0.13457,0.13457,45.0,2956.0,2504.0,315.4641955529831,62.3914492295454,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.459,0.0,0.0,1.0,0.0,1.0,33.0
46323,46323,33_64,33_1600,1.555829,0.49305,25.7917,0.3442,-0.001557404,1.0,1.0,2777.0,2504.0,2777.0,2504.0,2777.0,2504.0,315.5727740896143,62.38960884843101,0.289,0.289,45.0,0.09148,0.09148,45.0,2777.0,2504.0,315.5727740896143,62.38960884843101,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,42.8463,0.0,0.0,1.0,0.0,1.0,33.0
46324,46324,33_65,33_1599,3.586631,0.7486061,24.8849,0.2267,0.003714537,1.0,1.0,3007.0,2503.0,3007.0,2503.0,3007.0,2503.0,315.4332794132104,62.392239240110136,0.289,0.289,45.0,0.06025,0.06025,45.0,3007.0,2503.0,315.4332794132104,62.392239240110136,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.0329,0.0,0.0,1.0,0.0,1.0,33.0
46326,46326,33_67,33_1597,68.38806,3.268889,21.6842,0.0519,3.175899E-4,4.0,4.0,2540.0,2503.0,2540.3258,2502.7073,2540.3258,2502.7073,315.716350803287,62.38740970345966,0.546,0.358,42.87,0.02611,0.01712,42.87,2540.3258,2502.7073,315.716350803287,62.38740970345966,0.18017597609,0.150983119,0.18017597609,0.150983119,0.457,0.35,35.05,0.4565974,0.3502541,35.05,36.8481,0.0,1.83,1.526,0.345,1.0,33.0
46327,46327,33_68,33_1596,2.068501,0.5685098,25.4825,0.2985,0.003631316,1.0,1.0,2982.0,2502.0,2982.0,2502.0,2982.0,2502.0,315.4484666632005,62.3922716932045,0.289,0.289,45.0,0.07931,0.07931,45.0,2982.0,2502.0,315.4484666632005,62.3922716932045,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,1.0,33.0
46328,46328,33_69,33_1595,11.60845,1.346781,23.6097,0.126,0.00404583,3.0,3.0,3013.0,2500.0,3013.0157,2500.4094,3013.0157,2500.4094,315.4296854682883,62.39302698557228,0.57,0.314,-88.38,0.06617,0.03643,-88.38,3013.0157,2500.4094,315.4296854682883,62.39302698557228,0.086199041883,0.19993060945,0.086199041883,0.19993060945,0.447,0.294,-89.8,0.4471375,0.2935945,-89.8,37.1635,0.0,1.01,1.816,0.449,1.0,33.0
46329,46329,33_70,33_1594,10.3595,1.27227,23.7333,0.1334,0.005247743,2.0,2.0,3003.0,2501.0,3002.9233,2501.0,3002.9233,2501.0,315.4357953288901,62.39276096734074,0.393,0.289,0.0,0.04821,0.03545,0.0,3002.9233,2501.0,315.4357953288901,62.39276096734074,0.087927234818,0.0833333,0.087927234818,0.0833333,0.297,0.289,0.0,0.2965253,0.2886751,0.0,99.0,0.0,1.9,1.36,0.265,1.0,33.0
46330,46330,33_71,33_1593,1.518807,0.4871485,25.8179,0.3483,0.003014241,1.0,1.0,2975.0,2501.0,2975.0,2501.0,2975.0,2501.0,315.4527346599929,62.39248285889041,0.289,0.289,45.0,0.09255,0.09255,45.0,2975.0,2501.0,315.4527346599929,62.39248285889041,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,1.0,33.0
46332,46332,33_73,33_1591,41.36137,2.542187,22.2301,0.0667,0.003753382,3.0,3.0,2993.0,2499.0,2992.5382,2499.2721,2992.5382,2499.2721,315.44213248514666,62.39314344870306,0.61,0.273,-40.11,0.03748,0.0168,-40.11,2992.5382,2499.2721,315.44213248514666,62.39314344870306,0.22571898509,0.13196093718,0.22571898509,0.13196093718,0.492,0.34,-21.08,0.492013,0.3400045,-21.08,99.0,0.0,1.34,2.231,0.552,1.0,33.0
46333,46333,33_74,33_1590,2.227912,0.5900095,25.4019,0.2876,0.002645234,1.0,1.0,2979.0,2500.0,2979.0,2500.0,2979.0,2500.0,315.4503296913551,62.3928039001119,0.289,0.289,45.0,0.07644,0.07644,45.0,2979.0,2500.0,315.4503296913551,62.3928039001119,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,0.0,0.0,1.0,0.0,1.0,33.0
46334,46334,33_75,33_1589,10.34537,1.271402,23.7348,0.1335,-0.003523893,1.0,1.0,2939.0,2500.0,2939.0,2500.0,2939.0,2500.0,315.4745950978377,62.39240235229831,0.289,0.289,45.0,0.03548,0.03548,45.0,2939.0,2500.0,315.4745950978377,62.39240235229831,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,32.4736,0.0,0.0,1.0,0.0,1.0,33.0
46335,46335,33_76,33_1588,1.525201,0.4881728,25.8133,0.3476,-0.002118163,1.0,1.0,2759.0,2500.0,2759.0,2500.0,2759.0,2500.0,315.5837833373361,62.39054333396597,0.289,0.289,45.0,0.0924,0.0924,45.0,2759.0,2500.0,315.5837833373361,62.39054333396597,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,35.9262,0.0,0.0,1.0,0.0,1.0,33.0
