,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
1610,1610,22_54,22_11,16195.89,76.444,15.8821,0.0051,188.0727,68.0,71.0,661.0,1608.0,661.4819,1608.2228,661.4819,1608.2228,142.4018920357934,27.5329925745802,1.549,1.353,71.99,0.01051,0.00884,72.27,661.4819,1608.2228,142.4018920357934,27.5329925745802,0.52678518959,0.58653550729,0.52678518959,0.58653550729,0.77,0.721,72.8,0.7699813,0.7214218,72.8,23.3754,0.0,2.51,1.145,0.126,0.983,22.0
1611,1611,22_55,22_10,442.2707,24.81628,19.7914,0.0609,187.6016,11.0,12.0,575.0,1585.0,575.2799,1584.7202,575.2799,1584.7202,142.42915331180626,27.539875703118334,0.903,0.844,-5.44,0.06673,0.05855,-18.83,575.2799,1584.7202,142.42915331180626,27.539875703118334,0.44249401339,0.46832386566,0.44249401339,0.46832386566,0.704,0.644,54.38,0.703977,0.6443867,54.38,23.3434,0.0,2.14,1.069,0.065,0.725,22.0
1612,1612,22_56,22_9,15371.96,75.18925,15.9388,0.0053,188.3078,63.0,71.0,996.0,1580.0,996.5019,1580.0078,996.5019,1580.0078,142.2955173237642,27.5398140305027,1.553,1.365,73.5,0.01101,0.00948,73.94,996.5019,1580.0078,142.2955173237642,27.5398140305027,0.52872550691,0.59999927917,0.52872550691,0.59999927917,0.78,0.721,71.98,0.780022,0.7213116,71.98,23.3754,0.0,2.67,1.137,0.121,0.991,22.0
1615,1615,22_59,22_6,233.2619,21.20738,20.486,0.0987,188.4298,7.0,9.0,781.0,1566.0,780.9104,1566.3576,780.9104,1566.3576,142.36385479250427,27.54437984304773,0.901,0.682,66.96,0.10048,0.07251,69.5,780.9104,1566.3576,142.36385479250427,27.54437984304773,0.68108085134,0.70696670784,0.68108085134,0.70696670784,0.879,0.784,49.71,0.8792212,0.7842306,49.71,23.3991,0.0,2.65,1.321,0.243,0.565,22.0
1616,1616,22_60,22_65,1021.037,32.44657,18.883,0.0345,188.5025,17.0,20.0,759.0,2008.0,759.023,2008.3049,759.023,2008.3049,142.37242267176686,27.42014782951613,1.086,1.026,-39.12,0.04493,0.04145,-42.3,759.023,2008.3049,142.37242267176686,27.42014782951613,0.45331420219,0.46701299542,0.45331420219,0.46701299542,0.687,0.669,-61.87,0.6873842,0.6692011,-61.87,23.3775,0.0,1.81,1.059,0.056,0.932,22.0
1617,1617,22_61,22_64,294007.2,238.5798,12.7347,0.0009,188.5342,189.0,202.0,596.0,2000.0,596.1102,2000.3489,596.1102,2000.3489,142.42401885503332,27.42290865233828,1.718,1.5,73.06,0.00187,0.00167,72.15,596.1102,2000.3489,142.42401885503332,27.42290865233828,0.53161889555,0.61019199228,0.53161889555,0.61019199228,0.785,0.724,74.28,0.7854622,0.7244722,74.28,23.3487,0.0,2.37,1.145,0.127,0.997,22.0
1619,1619,22_63,22_62,157.2166,15.65294,20.9143,0.1081,187.6858,5.0,5.0,947.0,2000.0,946.8043,1999.432,946.8043,1999.432,142.3128863492123,27.422015891586398,0.725,0.454,-20.55,0.11627,0.06765,-18.58,946.8043,1999.432,142.3128863492123,27.422015891586398,0.39779394326,0.45538606464,0.39779394326,0.45538606464,0.697,0.606,-59.67,0.6966832,0.6064755,-59.67,23.373,0.0,2.53,1.597,0.374,0.566,22.0
1620,1620,23_1,23_24,742867.7,381.5627,11.7283,0.0006,188.557,466.0,562.0,1343.0,1548.0,1342.9288,1547.0795,1342.9288,1547.0795,142.18549480890715,27.547837969728583,4.771,1.866,84.33,0.0052,0.00133,86.78,1342.9288,1547.0795,142.18549480890715,27.547837969728583,1.7574976339,2.8387904618,1.7574976339,2.8387904618,1.709,1.294,75.06,1.709293,1.294066,75.06,23.3794,4.0,17.9,2.556,0.609,0.89,23.0
1621,1621,23_2,23_8,19486.79,81.32098,15.6812,0.0045,189.6038,65.0,72.0,1186.0,1527.0,1186.2705,1527.0689,1186.2705,1527.0689,142.2351100515197,27.554035851941205,1.549,1.35,81.38,0.00898,0.0075,-89.84,1186.2705,1527.0689,142.2351100515197,27.554035851941205,0.51976028197,0.59745686559,0.51976028197,0.59745686559,0.776,0.718,76.8,0.7758758,0.717798,76.8,23.3716,0.0,2.5,1.147,0.128,0.983,23.0
1622,1622,23_3,23_5,662.7526,29.66994,19.3522,0.0486,189.7131,14.0,17.0,1087.0,1520.0,1087.6292,1520.7521,1087.6292,1520.7521,142.26637831459186,27.556162542813983,1.111,0.945,75.74,0.06164,0.05106,79.4,1087.6292,1520.7521,142.26637831459186,27.556162542813983,0.59191038943,0.65279938299,0.59191038943,0.65279938299,0.812,0.765,73.13,0.8117676,0.7653385,73.13,23.3645,0.0,2.78,1.176,0.15,0.892,23.0
1623,1623,23_4,23_3,334.702,26.54665,20.0939,0.0861,189.0176,12.0,13.0,1310.0,1515.0,1310.7082,1515.2633,1310.7082,1515.2633,142.1955850450765,27.55690482839242,1.452,0.719,25.11,0.13432,0.06762,24.81,1310.7082,1515.2633,142.1955850450765,27.55690482839242,2.0685957306,1.3957951311,2.0685957306,1.3957951311,1.496,1.108,24.08,1.495503,1.10809,24.08,23.3152,0.0,6.1,2.019,0.505,0.0,23.0
1626,1626,23_7,23_58,231.2829,20.98917,20.4952,0.0986,187.2804,9.0,9.0,1346.0,1951.0,1347.2428,1950.0466,1347.2428,1950.0466,142.18579603234886,27.43448415375541,1.534,0.48,-43.74,0.17782,0.05377,-44.85,1347.2428,1950.0466,142.18579603234886,27.43448415375541,2.0199139782,1.6220295995,2.0199139782,1.6220295995,1.568,1.088,-35.9,1.56773,1.088194,-35.9,23.3305,0.0,5.1,3.2,0.687,0.104,23.0
