col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
637,637,18_9,18_29,588.4659,36.27376,19.2881,0.0669,400.1915,12.0,16.0,2148.0,1396.0,2148.2021,1395.6719,2148.2021,1395.6719,192.1986352053751,27.53657068859278,1.114,0.981,11.33,0.08147,0.07033,14.41,2148.2021,1395.6719,192.1986352053751,27.53657068859278,1.5569975565,1.4056842842,1.5569975565,1.4056842842,1.25,1.184,-9.74,1.249636,1.183678,-9.74,22.8794,0.0,4.41,1.136,0.12,0.27,18.0
648,648,18_20,18_18,1752.864,49.68815,18.103,0.0308,400.3234,25.0,28.0,2176.0,1236.0,2175.6435,1236.5174,2175.6435,1236.5174,192.1883470108976,27.581071077622436,1.336,1.2,81.09,0.04572,0.0426,-87.67,2175.6435,1236.5174,192.1883470108976,27.581071077622436,0.81479492973,0.92859016754,0.81479492973,0.92859016754,0.969,0.896,73.34,0.9694275,0.8964348,73.34,22.8783,0.0,3.2,1.113,0.102,0.874,18.0
652,652,18_24,18_14,539.932,32.98129,19.3816,0.0663,398.8457,12.0,13.0,2401.0,1156.0,2401.4357,1155.8522,2401.4357,1155.8522,192.11589025858476,27.60176104653846,1.015,0.861,19.89,0.0801,0.06893,14.12,2401.4357,1155.8522,192.11589025858476,27.60176104653846,0.78839000169,0.73986643526,0.78839000169,0.73986643526,0.913,0.833,34.78,0.9130058,0.8334727,34.78,22.8386,0.0,3.53,1.179,0.152,0.569,18.0
661,661,18_33,18_5,1832.223,57.44779,18.055,0.0341,400.8413,36.0,38.0,2181.0,1063.0,2182.0075,1063.5912,2182.0075,1063.5912,192.18460434941315,27.62962346376224,1.572,1.52,-27.61,0.0578,0.05585,-49.31,2182.0075,1063.5912,192.18460434941315,27.62962346376224,2.0778365625,1.9836781135,2.0778365625,1.9836781135,1.441,1.408,1.5,1.441493,1.408408,1.5,22.8862,0.0,4.98,1.034,0.033,0.016,18.0
674,674,19_10,19_36,3236.191,67.84716,17.4373,0.0228,399.9343,45.0,51.0,3014.0,1447.0,3013.9745,1446.9582,3013.9745,1446.9582,191.92460323099584,27.514368865977264,1.816,1.536,78.35,0.04669,0.03844,80.37,3013.9745,1446.9582,191.92460323099584,27.514368865977264,1.6269894171,1.8241037956,1.6269894171,1.8241037956,1.36,1.266,71.34,1.359955,1.26555,71.34,22.8667,16.0,4.38,1.182,0.154,0.068,19.0
675,675,19_11,19_35,512.9436,34.10665,19.4372,0.0722,399.1035,11.0,14.0,2859.0,1425.0,2858.6856,1425.7254,2858.6856,1425.7254,191.97362211753477,27.521774176308345,1.094,0.865,69.6,0.08741,0.06813,66.09,2858.6856,1425.7254,191.97362211753477,27.521774176308345,0.88817704925,1.0555206743,0.88817704925,1.0555206743,1.034,0.935,74.49,1.034156,0.9349971,74.49,22.8845,0.0,3.36,1.264,0.209,0.542,19.0
678,678,19_14,19_32,2609.981,55.17887,17.6708,0.023,398.9677,30.0,34.0,2606.0,1408.0,2605.9364,1407.9552,2605.9364,1407.9552,192.05358859834763,27.52907095841898,1.437,1.216,71.12,0.04002,0.03203,77.03,2605.9364,1407.9552,192.05358859834763,27.52907095841898,0.7938546709,0.82834309266,0.7938546709,0.82834309266,0.932,0.868,53.75,0.9319015,0.868192,53.75,22.8768,0.0,3.09,1.182,0.154,0.968,19.0
692,692,19_28,19_18,673.6176,34.49921,19.1414,0.0556,399.009,13.0,14.0,2685.0,1222.0,2685.5087,1221.7529,2685.5087,1221.7529,192.02642991981344,27.580687324943376,0.987,0.916,25.5,0.06339,0.06197,5.3,2685.5087,1221.7529,192.02642991981344,27.580687324943376,0.74940474329,0.71705089039,0.74940474329,0.71705089039,0.903,0.807,39.29,0.9027684,0.8071337,39.29,22.8576,0.0,3.15,1.078,0.072,0.719,19.0
701,701,19_37,19_10,346.9778,27.44734,19.8617,0.0859,399.5949,9.0,9.0,2589.0,1092.0,2589.1615,1092.3358,2589.1615,1092.3358,192.05566769302368,27.61793400729119,0.877,0.755,76.72,0.09112,0.0758,82.05,2589.1615,1092.3358,192.05566769302368,27.61793400729119,0.75499228385,0.84289283297,0.75499228385,0.84289283297,0.942,0.842,59.73,0.9424857,0.8423811,59.73,22.8832,0.0,3.17,1.162,0.14,0.511,19.0
704,704,19_40,19_7,629.0604,35.34451,19.2157,0.061,401.9819,15.0,15.0,2865.0,1062.0,2865.266,1062.5894,2865.266,1062.5894,191.96773037442077,27.62377573716176,1.081,0.913,-83.08,0.07296,0.06074,-84.14,2865.266,1062.5894,191.96773037442077,27.62377573716176,0.69173370042,0.7808214662,0.69173370042,0.7808214662,0.886,0.83,-79.2,0.8855413,0.8296818,-79.2,22.9267,0.0,2.91,1.185,0.156,0.552,19.0
